id	name	formula	rt	pubchem.cid	pubchem.smiles.isomeric	pubchem.smiles.canonical	pubchem.inchi	pubchem.inchikey	id.chebi	id.hmdb	id.lipidmaps	id.kegg	comment
draft_45277_00229			6.510000000000001	8070		CNCCNC							
draft_45277_00230			6.510000000000001	2906		NC1CCCC1							
draft_45277_00231			6.511	13205		CC1=C(N)C=CC=C1N							
draft_45277_00232			6.521	13007		CCN1CCCCC1							
draft_45277_00233			6.531000000000001	915446	CN1C(=O)[C@H](NC1=S)CCC(=O)N	CN1C(=O)C(CCC(N)=O)NC1=S							
draft_45277_00234			6.5360000000000005	95489		OC(=O)C1CC2=C(CN1)C=CC=C2							
draft_45277_00235			6.541	20727		CNC1=CC=CC=N1							
draft_45277_00236			6.541	123098		CNC1=CC=NC=C1							
draft_45277_00237			6.546	4712475		CC(=O)NCCC1CCCCN1							
draft_45277_00238			6.5520000000000005	228349		CN1CCCNCC1							
draft_45277_00239			6.5520000000000005	3038186		NC(=S)CCC1=NC=CC=C1							
draft_45277_00240			6.557	27491		O=C1NC2=CC=CC=C2NC1=O							
draft_45277_00241			6.5595	12791		NC(C(N)=O)C1=CC=CC=C1							
draft_45277_00242			6.562	1417907		N1C=C(C=N1)C1=CN=CC=C1							
draft_45277_00243			6.583	99027		CC(N)CN(C)C							
draft_45277_00244			6.587000000000001	4913252		NC1=CC=C2N=CC(=O)NC2=C1							
draft_45277_00245			6.593	4318740		CN1CCC23C4OC5=C(OC6OC(C(O)C(O)C6O)C(O)=O)C=CC(CC1C2C=CC4O)=C35							
draft_45277_00246			6.598	8082		C1CCNCC1							
draft_45277_00247			6.598	728719	OC(=O)[C@@H]1CCCN1CC1=CC=CC=C1								
draft_45277_00248			6.604	2758521	CN(C)[C@H]1CCNC1								
draft_45277_00249			6.613	12291		CN1CCCCC1							
draft_45277_00250			6.613	8119		C1CCCNCC1							
draft_45277_00251			6.614	3981101		COC(=O)C1CCCNC1=O							
draft_45277_00252			6.617	1725		NC(=N)C1=CC=C(N)C=C1							
draft_45277_00253			6.624	220672	C[C@H]1CN[C@H](C)CN1								
draft_45277_00254			6.624	70262		CCC1=NC(C)=CN1							
draft_45277_00255			6.624	21439		NC1=C(CO)C=CC=C1							
draft_45277_00256			6.635000000000001	46786410		COC(=O)CN1N=CC=CC1=O							
draft_45277_00257			6.645	123457		CC(C)C1=NC=CN1							
draft_45277_00258			6.648	12395500		N1C=CN=C1C1=CC=CN=C1							
draft_45277_00259			6.649500000000001	1983		CC(=O)NC1=CC=C(O)C=C1							
draft_45277_00260			6.655	7243		NC1=C(N)C=CC=C1							
draft_45277_00261			6.655	11526		CC1=CC=C(C)N=C1							
draft_45277_00262			6.655	78736		NCCCN1C=CN=C1							
draft_45277_00263			6.6610000000000005	90006		CCCN1CCC(=O)CC1							
draft_45277_00264			6.665	1266917		O=C(N1CCNC1=O)C1=CC=CO1							
draft_45277_00265			6.666	79196		CCN1CCNCC1							
draft_45277_00266			6.666	11420		CC1=C(C)N=CC=C1							
draft_45277_00267			6.668	16767306		OC(=O)C1(CCCCN1)C1=CC=CC=C1							
draft_45277_00268			6.676	7523		CCC1=CC=CC=N1							
draft_45277_00269			6.686000000000001	3159625		OC(=O)CCCC1=CC=NC=C1							
draft_45277_00270			6.697	66056		CC1CNCC(C)N1							
draft_45277_00271			6.7090000000000005	12866300		CC(C)CC(N)C(N)=O							
draft_45277_00272			6.717	96681		CNCCC1=CC=NC=C1							
draft_45277_00273			6.718	8007		CCCCN							
draft_45277_00274			6.7285	571471		CCN(CC#C)CC#C							
draft_45277_00275			6.729	840808		C1CN=C(N1)C1=CC=CO1							
draft_45277_00276			6.748	17233930		COC1=CC=CC=C1N1C(=O)NNC1=O							
draft_45277_00277			6.761	3135969		CC(C)(CN1CCCC1)C=O							
draft_45277_00278			6.769	24208870		CCCNC1CCN(CC1)C(C)=O							
draft_45277_00279			6.769	1266787		O=C1CCCN1CCC1=NC=CC=C1							
draft_45277_00280			6.779	1415571		CC1=CC(=O)C(C)(C)NC1							
draft_45277_00281			6.779	4023165		O1C=NN=C1C1=CC=CN=C1							
draft_45277_00282			6.78	16402		NCCCCCCN							
draft_45277_00283			6.79	1263582		CC(=O)NC(C)(C)C#C							
draft_45277_00284			6.793	3143020		O=C1CCNC2CCCCC12							
draft_45277_00285			6.8	7936		CC1=CC=NC(C)=C1							
draft_45277_00286			6.8	779710		CN1C(=O)N(C)C2=C1C=CC(N)=C2							
draft_45277_00287			6.8	3159614		NCCCC1=NC=CC=C1							
draft_45277_00288			6.809	564		NCCCCCC(O)=O							
draft_45277_00289			6.8100000000000005	72888		C(CN1CCOCC1)N1CCOCC1							
draft_45277_00290			6.8100000000000005	91461	OC[C@@H]1CCCN2CCCCC12								
draft_45277_00291			6.811000000000001	21885		CN(C)C1=CC=CC=N1							
draft_45277_00292			6.819999999999999	650496		CC1=C(C(N)=O)C(C(N)=O)=C(C)O1							
draft_45277_00293			6.821	11417		CC1=C(C)C=NC=C1							
draft_45277_00294			6.821	11149		CC(=O)NC1=CC=CC=C1N							
draft_45277_00295			6.83	292248		CN1C(C)=CC(=O)C=C1C							
draft_45277_00296			6.831	75919		NCCC1=CC=CC=N1							
draft_45277_00297			6.831	2142908		NC1=C(C=CC=C1)C(=O)N1CCNC(=O)C1							
draft_45277_00298			6.84	84759		NC1=C2C=CC=CC2=NC=N1							
draft_45277_00299			6.84	1048		N1C=CC=N1							
draft_45277_00300			6.84	23935016		O=C(NC1=CC=CN=C1)C1=NNC(=O)C=C1							
draft_45277_00301			6.842	7201439		N1C=NC2=C3N=CNC3=CC=C12							
draft_45277_00302			6.851	738861		NC(=O)C1CCN(CC1)C(=O)C1=CC=CO1							
draft_45277_00303			6.852	7261		CC1=C(N)C=C(N)C=C1							
draft_45277_00304			6.852	414213		NC1=CC=CC(=C1)C1=NCCN1							
draft_45277_00305			6.856	12298		CCCCC(N)=O							
draft_45277_00306			6.862	7472		CN(C)C1=CC=C(N)C=C1							
draft_45277_00307			6.872	235527		CN(C)C(=O)C1=CC=C(N)C=C1							
draft_45277_00308			6.88	10823		CCC1=CN=CC=C1							
draft_45277_00309			6.883	90865		NCC1CCCCN1							
draft_45277_00310			6.883	67105		CCNCCNCC							
draft_45277_00311			6.883	11565		CC1=CC(C)=CN=C1							
draft_45277_00312			6.883	98047		CCOC(=O)C1CCC(=O)N1							
draft_45277_00313			6.891	4919170		CN(C)CCCNC(=O)C(=O)NC1CC1							
draft_45277_00314			6.893	12375071	CC1=CC(=O)N=C(N1)/N=C(\N)/N2CCOCC2	CC1=CC(=O)NC(NC(=N)N2CCOCC2)=N1							
draft_45277_00315			6.894	18922		CC1=NC=NC=C1							
draft_45277_00316			6.901	26434147		O=C1NNC(=O)N1C1=CC2=C(OCO2)C=C1							
draft_45277_00317			6.904	18196		CN(C)CCN(C)CCN(C)C							
draft_45277_00318			6.904	17777		CC(C)C1=NC(C)=CC(=O)N1							
draft_45277_00319			6.904	726251		CC(=O)NC1=CC=C(NC(=O)CCC(O)=O)C=C1							
draft_45277_00320			6.904	4665705		CC(C)NC(=O)C(=O)NCCCO							
draft_45277_00321			6.91	108835		COC(=O)CN1CCCC1=O							
draft_45277_00322			6.914	247769		CCC(C)(N)C#C							
draft_45277_00323			6.914	2899025		O=C(C[N+]1=CC=CC=C1)C1CC1							
draft_45277_00324			6.914	82668		CC1=CC(N)=CC(C)=C1O							
draft_45277_00325			6.921	1282460		C1CN=C(NC2=NC=CN=C2)N1							
