id	name	formula	rt	smiles.std	status
0329_00578	KYNURENATE	C10H7NO3	2.597		'PUGREST.BadRequest: error: '
0329_00579	XANTHURENATE	C10H7NO4	2.363		'PUGREST.BadRequest: error: '
0329_00583	N-ACETYLPHENYLALANINE	C11H13NO3	3.068		'PUGREST.BadRequest: error: '
0329_00587	MELATONIN	C13H16N2O2	3.534		'PUGREST.BadRequest: error: '
0329_00588	3,5-DIIODO-L-THYRONINE	C15H13I2NO4	3.463		'PUGREST.BadRequest: error: '
0329_00589	CORTISOL	C21H30O5	3.79		'PUGREST.BadRequest: error: '
0329_00590	PREGNENOLONE SULFATE	C21H32O5S	4.258		'PUGREST.BadRequest: error: '
0329_00591	CORTISOL 21-ACETATE	C23H32O6	4.399		'PUGREST.BadRequest: error: '
0329_00592	GLYCOCHENODEOXYCHOLATE	C26H43NO5	4.258		'PUGREST.BadRequest: error: '
0329_00593	GLYCOCHOLATE	C26H43NO6	3.884		'PUGREST.BadRequest: error: '
0329_00596	2-PROPENOATE	C3H4O2	0.819		'PUGREST.BadRequest: error: '
0329_00601	MALEATE	C4H4O4	0.722		'PUGREST.BadRequest: error: '
0329_00602	FUMARATE	C4H4O4	0.722		'PUGREST.BadRequest: error: '
0329_00605	METHYLMALONATE	C4H6O4	0.819		'PUGREST.BadRequest: error: '
0329_00611	PENTANOATE	C5H10O2	1.684		'PUGREST.BadRequest: error: '
0329_00612	2-HYDROXY-4-(METHYLTHIO)BUTANOATE	C5H10O3S	1.897		'PUGREST.BadRequest: error: '
0329_00615	5-VALEROLACTONE	C5H8O2	1.684		'PUGREST.BadRequest: error: '
0329_00620	METHYGLUTARATE	C6H10O4	1.684		'PUGREST.BadRequest: error: '
0329_00624	THIOPURINE S-METHYLETHER	C6H6N4S	2.691		'PUGREST.BadRequest: error: '
0329_00632	6-CARBOXYHEXANOATE	C7H12O4	2.526		'PUGREST.BadRequest: error: '
0329_00633	BENZALDEHYDE	C7H6O	2.478		'PUGREST.BadRequest: error: '
0329_00639	2,3-DIHYDROXYBENZOATE	C7H6O4	1.728		'PUGREST.BadRequest: error: '
0329_00640	3,4-DIHYDROXYBENZOATE	C7H6O4	2.646		'PUGREST.BadRequest: error: '
0329_00643	3-AMINO-5-HYDROXYBENZOATE	C7H7NO3	0.699		'PUGREST.BadRequest: error: '
0329_00644	3-HYDROXYANTHRANILATE	C7H7NO3	0.699		'PUGREST.BadRequest: error: '
0329_00645	3-AMINO-4-HYDROXYBENZOATE	C7H7NO3	0.699		'PUGREST.BadRequest: error: '
0329_00652	MANDELATE	C8H8O3	2.478		'PUGREST.BadRequest: error: '
0329_00653	2-HYDROXYPHENYLACETATE	C8H8O3	2.478		'PUGREST.BadRequest: error: '
0329_00655	3,4 DIHYDROXYMANDELATE	C8H8O5	0.819		'PUGREST.BadRequest: error: '
0329_00656	3-(2-HYDROXYPHENYL)PROPANOATE	C9H10O3	3.206		'PUGREST.BadRequest: error: '
0329_00660	CAFFEATE	C9H8O4	2.713		'PUGREST.BadRequest: error: '
0329_00661	3-(4-HYDROXYPHENYL)PYRUVATE	C9H8O4	2.713		'PUGREST.BadRequest: error: '
0329_00662	3,5-DIIODO-L-TYROSINE	C9H9I2NO3	2.785		'PUGREST.BadRequest: error: '
0329_00663	HIPPURATE	C9H9NO3	2.691		'PUGREST.BadRequest: error: '
0329_00664	SALSOLINOL	C10H13NO2	0.816		'PUGREST.BadRequest: error: '
0329_00665	BIOTIN	C10H16N2O3S	2.85		'PUGREST.BadRequest: error: '
0329_00666	DETHIOBIOTIN	C10H18N2O3	2.966		'PUGREST.BadRequest: error: '
0329_00667	SEBACATE	C10H18O4	3.507		'PUGREST.BadRequest: error: '
0329_00669	4-QUINOLINECARBOXYLATE	C10H7NO2	1.189		'PUGREST.BadRequest: error: '
0329_00671	5-HYDROXYINDOLEACETATE	C10H9NO3	2.757		'PUGREST.BadRequest: error: '
0329_00674	N-ACETYLSEROTONIN	C12H14N2O2	2.872		'PUGREST.BadRequest: error: '
0329_00675	SUCROSE	C12H22O11	0.582		'PUGREST.BadRequest: error: '
0329_00676	MELIBIOSE	C12H22O11	0.582		'PUGREST.BadRequest: error: '
0329_00677	MALTOSE	C12H22O11	0.582		'PUGREST.BadRequest: error: '
0329_00678	CELLOBIOSE	C12H22O11	0.582		'PUGREST.BadRequest: error: '
0329_00679	PALATINOSE	C12H22O11	0.582		'PUGREST.BadRequest: error: '
