id	name	formula	rt	pubchem.cid	pubchem.smiles.isomeric	pubchem.smiles.canonical	pubchem.inchi	pubchem.inchikey	id.chebi	id.hmdb	id.lipidmaps	id.kegg	comment
0401_00387			3.196	171548	C1[C@H]2[C@@H]([C@@H](S1)CCCCC(=O)O)NC(=O)N2								
0401_00388			3.201	2519	CN1C=NC2=C1C(=O)N(C(=O)N2C)C								
0401_00389			3.218	10742	COC1=CC(=CC(=C1O)OC)C(=O)O	COC1=CC(=CC(=C1O)OC)C(=O)O							
0401_00390			3.219	5778	CSC1=NC=NC2=C1NC=N2	CSC1=NC=NC2=C1NC=N2							
0401_00391			3.223	9958	CC1=CC(=C(C=C1)O)O	CC1=CC(=C(C=C1)O)O							
0401_00392			3.224	6249	CC1([C@@H](N2[C@H](S1)[C@@H](C2=O)NC(=O)[C@@H](C3=CC=CC=C3)N)C(=O)O)C								
0401_00393			3.233	1738	COC1=C(C=CC(=C1)CC(=O)O)O	COC1=C(C=CC(=C1)CC(=O)O)O							
0401_00394			3.235	385	C(CCC(=O)O)CCC(=O)O	C(CCC(=O)O)CCC(=O)O							
0401_00395			3.235	12292	CC(CCC(=O)O)CC(=O)O	CC(CCC(=O)O)CC(=O)O							
0401_00396			3.241	2130	C1C2CC3CC1CC(C2)(C3)N								
0401_00397			3.255	493570	CC1=CC2=C(C=C1C)N(C3=NC(=O)NC(=O)C3=N2)C[C@@H]([C@@H]([C@@H](CO)O)O)O								
0401_00398			3.27	7420	C1=CC(=CC(=C1)O)C(=O)O								
0401_00399			3.297	397	C1=CC=C2C(=C1)C(=CN2)CC(=O)N	C1=CC=C2C(=C1)C(=CN2)CC(=O)N							
0401_00400			3.305	68144	C1=CC=C(C=C1)CC(=O)NCC(=O)O								
0401_00401			3.332	134601	COC(=O)[C@H](CC1=CC=CC=C1)NC(=O)[C@H](CC(=O)O)N								
0401_00402			3.346	77199	CCC(CC)(C(=O)O)O	CCC(CC)(C(=O)O)O							
0401_00403			3.352	5147	C1=CC=C(C(=C1)C(=O)N)O	C1=CC=C(C(=C1)C(=O)N)O							
0401_00404			3.377	91637	CC1=CC=CC=C1C(=O)NCC(=O)O	CC1=CC=CC=C1C(=O)NCC(=O)O							
0401_00405			3.425	80654	C1=CC=C(C=C1)CNC=O	C1=CC=C(C=C1)CNC=O							
0401_00406			3.439	227	C1=CC=C(C(=C1)C(=O)O)N	C1=CC=C(C(=C1)C(=O)O)N							
0401_00407			3.441	5378244	COC1=C(C=C(C=C1)C2=C(C(=O)C3=C(O2)C=C(C=C3)O)O)O								
0401_00408			3.443	21059	CCC1=C(C(=O)C=CO1)O	CCC1=C(C(=O)C=CO1)O							
0401_00409			3.447	803	C1=CC=C2C(=C1)C(=CN2)CC(=O)C(=O)O								
0401_00410			3.456	328	C1=CC(=CC=C1C(C(=O)O)O)O								
0401_00411			3.459	15109	COC1=C(C(=CC=C1)OC)C(=O)O	COC1=C(C(=CC=C1)OC)C(=O)O							
0401_00412			3.51	81996	CCOC(=O)[C@H](CC1=CNC2=CC=CC=C21)N								
0401_00413			3.54	50591	C1=CC=C2C(=C1)C(=CN2)O								
0401_00414			3.582	124886	C(CC(=O)N[C@@H](CS)C(=O)NCC(=O)O)[C@@H](C(=O)O)N								
0401_00415			3.605	637542	C1=CC(=CC=C1/C=C/C(=O)O)O								
0401_00416			3.649	83697	CC(C)C[C@@H](C(=O)O)O								
0401_00417			3.649	92779	CC(C)CC(C(=O)O)O	CC(C)CC(C(=O)O)O							
0401_00418			3.655	92180	CC(=CCNC1=NC=NC2=C1NC=N2)C	CC(=CCNC1=NC=NC2=C1NC=N2)C							
0401_00419			3.661	321710	C1C2=CC=CC=C2NC1=O	C1C2=CC=CC=C2NC1=O							
