name_normalized	usp code	phase type	particle size [µm]	pore size [A]	H	S*	A	B	C (pH 2.8)	C (pH 7.0)	EB retention factor	hplccolumns_number	Manufacturer
Welch Materials Ultisil XS-C18	L1	C18			0.982	-0.009	0.45	-0.016	0.22	1.2	9.5	733	
Welch Materials Ultisil Polar-RP	L1	EP			0.773	0.026	-0.43	0.19	-0.27	0.1	6.4	734	
Welch Materials Ultisil PFP	L11	F			0.636	-0.1	-0.17	-0.023	0.45	1.1	3.4	735	
Welch Materials Ultisil XB-CN	L10	CN			0.394	-0.074	-0.3	0.007	0.092	0.92	1.1	736	
Welch Materials Ultisil LP-C18	L1	C18			0.916	-0.042	0.15	0.026	0.14	0.76	7.6	737	
Welch Materials Ultisil Polar-RP	L1	EP			0.773	0.028	-0.44	0.19	-0.25	0.037	6.4	738	
		C8			0.858	0.009	-0.186	0.026	0.1	0.125	6.3	739	Wesley Technologies Inc
Wesley Technologies Inc. Flowrosil C18	L1	C18			1.01	0.004	-0.121	0.0	0.162	0.142	9.5	740	
		C18			0.894	-0.04	-0.182	0.024	0.112	0.171	7.5	741	Wesley Technologies Inc
Wesley Technologies Inc. Flowrosil C8	L7	C8			0.857	0.001	-0.173	0.024	0.11	0.166	6.4	742	
		C18			0.973	-0.014	-0.084	0.01	0.148	0.208	7.2	743	Wesley Technologies Inc
		C18			0.778	0.017	-0.463	0.185	-0.301	0.018	7.0	744	Wesley Technologies Inc
VDS Optilab VDSpher PUR C18-E	L1	C18		100.0	1.03	-0.0034	-0.0026	-0.016	0.01	0.15	13.0	745	
VDS Optilab VDSpher PUR C18-H	L1	C18		100.0	0.809	-0.073	-0.14	0.015	0.033	0.97	7.8	746	
VDS Optilab VDSpher PUR C18-M-SE	L1	C18		100.0	1.07	0.037	-0.044	-0.037	-0.06	0.022	13.1	747	
VDS Optilab VDSpher PUR C18-M	L1	C18		100.0	0.903	-0.077	0.51	0.0002	0.12	1.51	10.2	748	
YMC Triart Bio C4	L26	C4			0.673	-0.015	-0.35	0.02	0.13	0.064	1.2	749	
Shimadzu Shim-pack Arate C18	L1	C18			0.782	0.032	-0.503	0.236	-0.52	0.079	7.6	750	
Shimadzu Shim-pack Velox SP-C18	L1	C18			0.983	-0.045	0.385	0.01	0.106	1.06	6.3	751	
Shimadzu Shim-pack Velox C18	L1	C18			1.1	0.051	0.101	-0.034	0.111	0.196	6.6	752	
Shimadzu Shim-pack Velox Biphenyl C18	L11	phenyl			0.707	-0.19	-0.244	0.046	0.063	1.07	3.2	753	
Shimadzu Shim-pack Velox PFPP	L42	F			0.688	-0.13	0.116	-0.043	0.443	1.59	3.0	754	
Thermo Scientific BETASIL C18	L1	C18			1.06	0.033	0.034	-0.014	0.095	0.099	12.3	755	
Thermo Scientific Acclaim Mixed-Mode HILIC-1	L60	EP			0.517	-0.086	0.0	0.126	0.067	0.893	1.7	756	
Thermo Scientific Acclaim Mixed-Mode WCX-1	L60	EP			0.432	-0.099	-0.606	0.168	-0.156	0.99	1.5	757	
Thermo Scientific Hypersil ODS	L1	C18			0.973	-0.051	-0.094	0.019	1.1	0.895	5.7	758	
Thermo Scientific BETASIL C8	L7	C8			0.875	-0.0027	-0.164	0.031	0.084	0.076	8.1	759	
Thermo Scientific Accucore Biphenyl	L11	phenyl			0.706	-0.18	-0.317	0.025	0.077	0.727	3.3	760	
YMC YMC-Triart Bio C18	L1	C18			0.954	-0.0081	-0.139	0.011	0.261	0.21	3.0	761	
