name_normalized	usp code	phase type	particle size [µm]	pore size [A]	H	S*	A	B	C (pH 2.8)	C (pH 7.0)	EB retention factor	hplccolumns_number	Manufacturer
Phenomenex Synergi Fusion-RP	L1	EP			0.87	-0.03	-0.01	0.0	-0.23	0.36	7.5	212	
Restek Allure C18	L1	C18			1.13	0.05	0.04	-0.04	-0.03	0.02	17.9	214	
Restek Ultra C18	L1	C18			1.05	0.03	-0.03	-0.02	0.05	0.0	12.2	215	
Restek Ultra C8	L7	C8			0.87	0.01	-0.19	0.01	-0.03	-0.07	8.2	216	
Restek Allure PFP Propyl	L43	F			0.83	-0.26	0.05	0.34	1.1	1.65	7.4	218	
SEPSERV UltraSep ES AMID H RP18P		EP			0.75	-0.01	-0.1	0.25	-0.52	0.85	4.9	220	
SEPSERV UltraSep ES PHARM RP18	L1	C18			0.95	-0.06	0.43	-0.05	0.59	1.67	8.5	221	
		C8			0.75	-0.07	-0.04	-0.01	0.47	0.97	4.7	222	no longer available
		C18			0.99	-0.03	0.29	-0.04	0.83	1.22	7.6	223	no longer available
Wako Pure Chemical Ind. Wakopak Wakosil C8 RS	L7	C8	5.0		0.8	0.0	-0.27	0.0	-0.11	0.09	5.6	224	
Wako Pure Chemical Ind. Wakopak Wakosil C18 AR	L1	C18	5.0		0.99	0.07	-0.05	-0.03	0.07	0.01	6.2	225	
Wako Pure Chemical Ind. Wakopak Wakosil C18 HG	L1	C18	5.0		1.03	0.03	0.01	-0.02	0.0	0.21	7.1	226	
Wako Pure Chemical Ind. Wakopak Wakosil C18 RS	L1	C18	5.0		0.96	0.0	-0.16	0.0	-0.07	0.04	9.2	227	
Shiseido CAPCELL C18 UG 120	L1	C18			1.0	0.03	0.03	-0.01	0.01	0.0	6.9	228	
Shiseido CAPCELL C18 AG 120	L1	C18		120.0	1.03	0.06	0.12	-0.06	0.54	0.62	7.2	229	
Shiseido CAPCELL C18 MG	L1	C18			1.0	0.01	0.04	0.0	0.07	0.0	10.2	230	
Shiseido CAPCELL C18 SG 120	L1	C18			0.98	0.03	0.09	-0.02	0.12	0.19	6.6	231	
Shiseido CAPCELL C18 AQ	L1	EP			0.86	-0.04	-0.06	0.01	-0.09	0.4	7.0	232	
Shiseido CAPCELL C18 ACR	L1	C18			1.02	0.04	0.07	-0.01	0.03	0.11	8.5	233	
Shiseido CAPCELL PAK C8 DD	L7	C8			0.83	0.02	-0.15	0.01	-0.11	-0.07	5.4	234	
Shiseido CAPCELL PAK C18 MGII	L1	C18			1.01	0.01	0.04	0.0	0.0	0.0	9.9	235	
Shiseido CAPCELL C8 UG 120	L7	C8			0.85	0.03	-0.09	-0.01	-0.04	-0.01	4.3	236	
Merck Discovery BIO Wide Pore C18	L1	C18			0.83	0.01	-0.25	0.02	0.12	0.11	3.4	238	
Merck Discovery BIO Wide Pore C5		C5			0.65	-0.01	-0.3	0.02	0.09	0.21	1.1	239	
