hplccolumns_number	normalized notation	USP Code	Phase type	H	S*	A	B	C (pH 2.8)	C (pH 7.0)	EB retention factor	pore size	particle size	Name	Manufacturer	comment
361	Tosoh Bioscience, TSKgel ODS-140HTP	L1	C18	1.00	0.0500	-0.250	-0.0300	0.130	0.140	2.8					
362	Tosoh Bioscience, TSKgel ODS-80Ts	L1	C18	0.970	-0.0100	-0.130	0	0.0100	0.290	8.1					
464	Tosoh Bioscience, TSKgel OligoDNA-RP	L1	C18	0.860	0.0200	0.140	0.0100	0.310	0.650	3.3					
364	Tosoh Bioscience, TSKgel Super-Octyl	L7	C8	0.820	0.0300	-0.150	0.0100	0.120	0.230	2.2					
365	Tosoh Bioscience, TSKgel Super-ODS	L1	C18	0.990	0.0300	-0.0400	-0.0100	0.150	0.230	3.8					
366	Tosoh Bioscience, TSKgel Super-Phenyl	L11	Phenyl	0.580	-0.100	-0.140	0.0100	0.0800	0.670	1					
687	United Chemical Technologies, Selctra Aqueous C18	L1	EP	0.780	-0.110	0.0110	0.0110	0.0760	1.15	6.79					
688	United Chemical Technologies, Selctra C18	L1	C18	1.05	0.0320	0.00600	-0.0170	0.0150	0.0260	11.8					
689	United Chemical Technologies, Selctra PFPP	L43	F	0.674	-0.0810	-0.330	-0.0330	0.430	1.26	4.63					
745	VDS Optilab, VDSpher PUR C18-E	L1	C18	1.03	-0.00340	-0.00260	-0.0160	0.0100	0.150	13	100A				
746	VDS Optilab, VDSpher PUR C18-H	L1	C18	0.809	-0.0730	-0.140	0.0150	0.0330	0.970	7.8	100A				
748	VDS Optilab, VDSpher PUR C18-M	L1	C18	0.903	-0.0770	0.510	0.000200	0.120	1.51	10.2	100A				
747	VDS Optilab, VDSpher PUR C18-M-SE	L1	C18	1.07	0.0370	-0.0440	-0.0370	-0.0600	0.0220	13.1	100A				
225	Wako Pure Chemical Ind., Wakopak Wakosil C18 AR	L1	C18	0.990	0.0700	-0.0500	-0.0300	0.0700	0.0100	6.2		5µm			
226	Wako Pure Chemical Ind., Wakopak Wakosil C18 HG	L1	C18	1.03	0.0300	0.0100	-0.0200	0	0.210	7.1		5µm			
227	Wako Pure Chemical Ind., Wakopak Wakosil C18 RS	L1	C18	0.960	0	-0.160	0	-0.0700	0.0400	9.2		5µm			
224	Wako Pure Chemical Ind., Wakopak Wakosil C8 RS	L7	C8	0.800	0	-0.270	0	-0.110	0.0900	5.6		5µm			
283	Waters, µBondapak C18	L1	C18	0.790	-0.0700	-0.0300	0.0100	0.280	0.850	4.6					
317	Waters, µBondapak Phenyl	L11	Phenyl	0.580	-0.150	-0.240	0.0200	0.350	0.970	2.1					
697	Waters, ACQUITY UPLC BEH C18	L1	C18	1.00	0.0280	-0.366	0.00700	0.142	0.0880	6.4					
330	Waters, ACQUITY UPLC BEH C8	L7	C8	0.850	0	0.0900	0.0500	0.220	0.770	2.7					
331	Waters, ACQUITY UPLC BEH Phenyl	L11	Phenyl	0.760	0.0700	-0.0500	0.0600	0.290	0.580	2					
