name_new	name_old	usp code	phase type	kPB	αCH2	αT/O	αC/P	αB/P	αB/P	particle size [µm]	pore size [A]	name	hplccolumns_number	Column Name
Merck Supelco Ascentis Express Biphenyl	Merck, AscentisExpress Biphenyl		Biphenyl	1.69	1.29	1.53	2.3	0.96	0.16	2.7	90	Ascentis Express Biphenyl		Ascentis Express Biphenyl
Merck Supelco Ascentis Express C18	Merck, Ascentis Express C18		C18	5.28	1.53	1.42	0.39	0.28	0.08	2.7 spp	90	Ascentis Express C18		Ascentis Express C18
Merck Supelco Ascentis Express C8	Merck, Ascentis Express C8		C8	2.34	1.41	0.94	0.29	0.27	0.08	2.7 spp	90	Ascentis Express C8		Ascentis Express C8
Merck Supelco Ascentis Express F5 (PFP)			PFP	1.32	1.26	2.52	0.74	1.66	0.34	2.7 spp	90	Ascentis Express PFP		Ascentis Express PFP
Merck Supelco Ascentis Express Phenyl-Hexyl	Merck, Ascentis Express Phenyl-Hexyl		Phenyl	2.17	1.34	1.2	0.88	0.46	0.11	2.7 spp	90	Ascentis Express Phenyl hexyl		Ascentis Express Phenyl hexyl
Merck Supelco Ascentis Express RP-Amide	Merck, Ascentis Express RP-Amide		PEG	3.87	1.43	1.79	0.22	0.25	0.07	2.7 spp	90	Ascentis Express RP-Amide		Ascentis Express RP-Amide
Merck Supelco Ascentis Phenyl			Phenyl	2.32	1.31	1	0.96	0.44	0.14		100	Ascentis phenyl		Ascentis phenyl
			C18	4.92	1.35	4.09	0.15	0.04	0.01	5	300	Astec Polymer C18		Astec Polymer C18
Waters Atlantis dC18			C18	3.74	1.45	1.23	0.61	0.56	0.11	5	100	Atlantis dC18		Atlantis dC18
Waters Atlantis T3			C18	5.48	1.47	1.17	0.49	0.25	0.11	3	100	Atlantis T3		Atlantis T3
Thermo Scientific BetaBasic C18			C18	4.49	1.47	1.56	0.39	0.8	0.12	5	150	BetaBasic C18		BetaBasic C18
Thermo Scientific BetaBasc CN			CN	0.18	1.06	1.82	0.43	0.77	0.17	5	150	BetaBasic CN		BetaBasic CN
Thermo Scientific BetaBasic Phenyl			Phenyl	0.39	1.21	0.92	1	0.64	0.19	5	150	BetaBasic phenyl		BetaBasic phenyl
Thermo Scientific BetaMax Acid			C8	2.84	1.33	2.04	0.29	0.55	-0.03	5	60	BetaMax Acid		BetaMax Acid
			CN	0.37	1.04	2.04	0.42	1.7	0.19	5	60	BetaMax Basic (CN)		BetaMax Basic (CN)
Thermo Scientific BetaMax Neutral			C18	10.62	1.49	1.5	0.4	1	0.1	5	60	BetaMax Neutral C18		BetaMax Neutral C18
Thermo Scientific BetaSil Phenyl/Hexyl			Phenyl	1.78	1.32	0.75	0.42	0.39	0.12	5	100	Betasil phenyl-hexyl		Betasil phenyl-hexyl
Merck Supelco BIOshell Peptide C18			C18	2.26	1.45	1.21	0.75	1	0.13	2.7	160	BIOshell Peptide C18		BIOshell Peptide C18
			Aqua	3.97	1.42	1.31	0.62	0.67	0.11	5	80	Capcell Pak AQ C18		Capcell Pak AQ C18
			C18	6.52	1.48	1.31	0.44	0.31	0.11	5	100	Capcell Pak MGII C18		Capcell Pak MGII C18
Merck Chromolith RP-18 endcapped			C18	4.22	1.24	1.31	0.48	0.63	0.12	5	130	Chromolith C18		Chromolith C18
Waters CORTECS C18	Waters, CORTECS C18		C18	4.51	1.48	1.38	0.39	0.38	0.1	1.6spp	90	Cortecs C18		Cortecs C18
Waters CORTECS C18+	Waters, CORTECS C18+		C18	4.12	1.51	1.49	0.55	1	0.08	1.6spp	90	Cortecs C18+		Cortecs C18+
Nacalai Tesque COSMOSIL C18-EB			C18	4.8	1.46	1.29	0.59	0.38	0.11	3	120	Cosmosil 3 C18-EB		Cosmosil 3 C18-EB
