rt	comment	id	pubchem.cid	pubchem.smiles.canonical	pubchem.smiles.isomeric
16.85		draft_25135_00206	637760		C1=CC=C(C=C1)/C=C/C(=O)C2=CC=CC=C2
16.91		draft_25135_00207	73174		C=C1CC[C@@H]2[C@@H]([C@@H]3[C@H]1CCC3=C)OC(=O)C2=C
16.92		draft_25135_00208	11425923		C[C@H]1COC2=C1C(=O)C(=O)C3=C2C=CC4=C(C=CC=C43)C
16.97		draft_25135_00209	168114		CCCCCCC[C@@H](CC(=O)CCC1=CC(=C(C=C1)O)OC)O
17.16		draft_25135_00210	9946625		C/C(=C\COC1=C2C=CC(=O)OC2=CC3=C1C=CO3)/CCC4C(O4)(C)C
17.27		draft_25135_00211	2361	C1=CC=C(C=C1)C2=CC(=O)C3=C(O2)C=CC4=CC=CC=C43	
17.45		draft_25135_00212	6510278		C/C=C/1\C(=O)CC2[C@@]1(CCC3C2CCC4=CC(=O)CC[C@]34C)C
17.46		draft_25135_00213	5281794		CCCCC/C=C/C(=O)CCC1=CC(=C(C=C1)O)OC
17.66		draft_25135_00214	362045	CC1=CC(=CC2=C1CC=C3C(=C2)C(=O)C(=O)C(=C3O)C(C)C)O	
17.92		draft_25135_00215	46173859		C[C@@H]1CC[C@@]2([C@H]([C@H]3[C@@H](O2)C[C@@H]4[C@@]3(CC[C@H]5[C@H]4CC=C6[C@@]5([C@@H](C[C@@H](C6)O)O[C@H]7[C@@H]([C@H]([C@H]([C@H](O7)C)O)O[C@H]8[C@@H]([C@H]([C@@H](CO8)O)O)O)O[C@H]9[C@@H]([C@@H]([C@H]([C@@H](O9)C)O)O)O)C)C)C)OC1
18.11		draft_25135_00216	10208	CC1=CC2=C(C(=C1)O)C(=O)C3=C(C2=O)C=CC=C3O	
18.14		draft_25135_00217	119245		C[C@@H]1CC[C@@]2([C@H]([C@H]3[C@@H](O2)C[C@@H]4[C@@]3(CC[C@H]5[C@H]4CC=C6[C@@]5(CC[C@@H](C6)O[C@H]7[C@@H]([C@H]([C@@H]([C@H](O7)CO)O[C@H]8[C@@H]([C@@H]([C@H]([C@@H](O8)C)O)O)O)O)O[C@H]9[C@@H]([C@@H]([C@H]([C@@H](O9)C)O)O)O)C)C)C)OC1
18.27		draft_25135_00218	114917	CC1=C2C=CC3=C(C2=CC=C1)C(=O)C(=O)C4=C3OC=C4C	
