rt	comment	id	pubchem.smiles.canonical	pubchem.cid	pubchem.smiles.isomeric
6.852		draft_86029_00303	CC1=C(N)C=C(N)C=C1	7261	
6.852		draft_86029_00304	NC1=CC=CC(=C1)C1=NCCN1	414213	
6.856		draft_86029_00305	CCCCC(N)=O	12298	
6.862		draft_86029_00306	CN(C)C1=CC=C(N)C=C1	7472	
6.872		draft_86029_00307	CN(C)C(=O)C1=CC=C(N)C=C1	235527	
6.88		draft_86029_00308	CCC1=CN=CC=C1	10823	
6.883		draft_86029_00309	NCC1CCCCN1	90865	
6.883		draft_86029_00310	CCNCCNCC	67105	
6.883		draft_86029_00311	CC1=CC(C)=CN=C1	11565	
6.883		draft_86029_00312	CCOC(=O)C1CCC(=O)N1	98047	
6.891		draft_86029_00313	CN(C)CCCNC(=O)C(=O)NC1CC1	4919170	
6.893		draft_86029_00314	CC1=CC(=O)NC(NC(=N)N2CCOCC2)=N1	12375071	
6.894		draft_86029_00315	CC1=NC=NC=C1	18922	
6.901		draft_86029_00316	O=C1NNC(=O)N1C1=CC2=C(OCO2)C=C1	26434147	
6.904		draft_86029_00317	CN(C)CCN(C)CCN(C)C	18196	
6.904		draft_86029_00318	CC(C)C1=NC(C)=CC(=O)N1	17777	
6.904		draft_86029_00319	CC(=O)NC1=CC=C(NC(=O)CCC(O)=O)C=C1	726251	
6.904		draft_86029_00320	CC(C)NC(=O)C(=O)NCCCO	4665705	
6.91		draft_86029_00321	COC(=O)CN1CCCC1=O	108835	
6.914		draft_86029_00322	CCC(C)(N)C#C	247769	
6.914		draft_86029_00323	O=C(C[N+]1=CC=CC=C1)C1CC1	2899025	
6.914		draft_86029_00324	CC1=CC(N)=CC(C)=C1O	82668	
6.921		draft_86029_00325	C1CN=C(NC2=NC=CN=C2)N1	1282460	
6.924		draft_86029_00326	CCN(CC)CCCN	61011	
6.924		draft_86029_00327	CC(=O)NC1=CC=CC2=NC=CC=C12	162518	
6.925		draft_86029_00328	CNCCC1=CC=CC=N1	2366	
6.932		draft_86029_00329	CCOC(=O)C1=C(N)N(NC1=O)C(C)=O	5296880	
6.9350000000000005		draft_86029_00330	CCC1=CC=NC=C1	10822	
6.941		draft_86029_00331		2789181	O=C1NC(=CN=N1)\N=N\CC1=CC=CN=C1
6.941999999999999		draft_86029_00332	CN1CCCN(C)C1=O	81646	
6.944999999999999		draft_86029_00333	CC(C)N1CCNCC1	78013	
6.961		draft_86029_00334	CCNCCN(CC)CC	66040	
6.962000000000001		draft_86029_00335	NC1=NC2=C(CCC2)C=N1	231639	
6.965999999999999		draft_86029_00336	O=CC1=CC=CN1	13854	
6.97		draft_86029_00337	C=CC1=NC=CC=C1	7521	
6.976		draft_86029_00338	CN(CC=C)CC=C	75501	
6.976		draft_86029_00339	CC(C)C(C)N	11731	
6.976		draft_86029_00340	NCCN1CCCCC1	33944	
6.976		draft_86029_00341	CCN1C(C)=NNC1=S	3613806	
6.976		draft_86029_00342	CN1CC(=O)N(C1=O)C1=CC=CC(N)=C1	39870849	
6.982		draft_86029_00343	CCCNC(=O)N1CCCC(C1)C(N)=O	2952083	
6.987		draft_86029_00344	CC1=CC(C)=NN1	6210	
6.997		draft_86029_00345	CCCNCCN	66073	
6.997		draft_86029_00346	CC1=NC2=CC=CC=C2C(=C1)C(N)=O	85122	
7.001		draft_86029_00347	C[N+](C)(C)C1=CC=CC=C1	67309	
7.002		draft_86029_00348	CNCC1=CC=CS1	458574	
7.002		draft_86029_00349	CC(=O)N1CCC(CC1)C1CCNCC1	4778254	
7.002		draft_86029_00350	NCC1=C(C=CC=C1)C(O)=O	277942	
7.007000000000001		draft_86029_00351	NC1CCCCC1N	4610	
7.007000000000001		draft_86029_00352	NC1=CC=C2NC=CC2=C1	78867	
7.0120000000000005		draft_86029_00353	C(N1CCCC1)C1=CC=CC=N1	1439064	
7.022		draft_86029_00354	CN(C)C(CN)C1=CC=CO1	3754087	
7.022		draft_86029_00355	COC(=O)CCN1CCCCC1	566577	
7.0225		draft_86029_00356	NC(CO)C1=CC=CC=C1	2724025	
7.023		draft_86029_00357	CC1CN=C(NC2CCCCC2)S1	2802274	
7.0280000000000005		draft_86029_00358	CCCCN(C)C	13563	
7.0280000000000005		draft_86029_00359	CNCCCCCCNC	83131	
7.0280000000000005		draft_86029_00360	NCC1=CC=CC=C1CN	431968	
7.032		draft_86029_00361	C(CC1=CC=CC=N1)NC1=CC=NC=N1	774460	
7.033		draft_86029_00362	CN(C)C1=CC=NC=C1N	14088946	
7.033		draft_86029_00363	NC(=O)NNC(=S)NC1=CC=CC=C1	680702	
7.037000000000001		draft_86029_00364	CC(C)C(N)C(C)(C)O	13247948	
7.037999999999999		draft_86029_00365	NCC1=CC(CN)=CC=C1	15133	
7.0395		draft_86029_00366	NC1=CC=C(CN2CCCC2)C=C1	776852	
